Type                                  Module                      Label             Process      
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "hfreco"                    ""                "RESELECT"   
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "reducedHcalRecHits"        "hfreco"          "RESELECT"   
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "horeco"                    ""                "RESELECT"   
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "reducedHcalRecHits"        "horeco"          "RESELECT"   
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "castorDigis"               ""                "RESELECT"   
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "hcalDigis"                 ""                "RESELECT"   
edm::SortedCollection<ZDCRecHit,edm::StrictWeakOrdering<ZDCRecHit> >    "zdcreco"                   ""                "RESELECT"   
edm::TriggerResults                   "TriggerResults"            ""                "RESELECT"   
edm::ValueMap<bool>                   "chargedHadronPFTrackIsolation"   ""                "RESELECT"   
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLoose"   "RESELECT"   
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLoose"   "RESELECT"   
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLooseEM"   "RESELECT"   
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLooseEM"   "RESELECT"   
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDTight"   "RESELECT"   
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDTight"   "RESELECT"   
edm::ValueMap<bool>                   "muons"                     "muidAllArbitrated"   "RESELECT"   
edm::ValueMap<bool>                   "muons"                     "muidGMStaChiCompatibility"   "RESELECT"   
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "RESELECT"   
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "RESELECT"   
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "RESELECT"   
edm::ValueMap<bool>                   "muons"                     "muidRPCMuLoose"   "RESELECT"   
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "RESELECT"   
